,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
45,45,9/16/2020,VA,136359,37681,27108,32793,4083,165,0,925,3237,30367,32793,73199,30367,2884,1551,750,287,140,5,0,3,47,101,287,2496,101,5725432,1579414,41525,449149,8201,8001024,0.017042694,0.006581337,0.017163328,0.009090525,0.00397351,0,0.000360454,0.000270897,0.00047486,0.000311701,0.000120409,0
46,46,9/16/2020,VT,1702,1414,174,0,64,2,0,0,38,10,59,1637,6,58,55,0,0,2,0,0,0,1,0,0,58,0,598592,6456,2308,8069,175,625741,0.002719975,0.00236221,0.026951673,0.00793159,0.000866551,0,9.27E-05,9.19E-05,0,0.000247862,0,0
47,47,9/16/2020,WA,80812,21483,3320,23442,2742,931,1420,1476,1148,24850,23442,32520,24850,2020,1343,67,284,150,53,32,23,40,28,284,1708,28,5535262,252333,122649,491685,43505,6724540,0.012017476,0.003881117,0.013157217,0.005576741,0.007590767,0.032639926,0.000300392,0.000242626,0.000265522,0.000305073,0.000432127,0.000735548
48,48,9/16/2020,WI,98440,66346,10782,0,2460,1017,0,0,8473,9362,18377,66478,13585,1237,914,232,0,33,15,0,0,24,19,146,1069,22,5036923,367021,60100,131828,2505,5686986,0.017309696,0.013171931,0.029377066,0.018660679,0.016921797,0,0.000217514,0.00018146,0.000632116,0.000250326,0.000249584,0
49,49,9/16/2020,WV,13196,10405,830,0,0,0,2,0,1959,0,0,0,0,290,58,3,0,0,0,0,0,0,229,0,0,0,1746513,63885,3975,12637,485,1852994,0.007121448,0.005957585,0.012992095,0,0,0.004123711,0.000156503,3.32E-05,4.70E-05,0,0,0
50,50,9/16/2020,WY,4566,2408,46,599,30,483,15,0,224,889,599,3206,889,46,20,1,2,0,15,0,0,0,8,2,35,8,529110,5135,14457,4649,521,563626,0.008101117,0.004551039,0.00895813,0.006453001,0.033409421,0.028790787,8.16E-05,3.78E-05,0.000194742,0,0.00103756,0
51,51,9/13/2020,AK,7193,1618,245,0,166,1076,242,216,218,3412,388,2441,4364,44,18,0,0,3,16,5,0,0,2,1,40,3,483873,24441,106268,38882,7662,710231,0.010127691,0.003343853,0.01002414,0.004269328,0.010125343,0.031584443,6.20E-05,3.72E-05,0,7.72E-05,0.000150563,0.000652571
52,52,9/13/2020,AL,138755,41839,32090,0,503,0,0,0,8780,55554,7321,60356,71077,2351,1204,878,0,8,0,0,0,50,211,64,1889,398,3362877,1259224,32903,55240,5208,4779736,0.029029846,0.01244143,0.025483949,0.00910572,0,0,0.000491868,0.000358027,0.000697255,0.000144823,0,0
53,53,9/13/2020,AR,70219,39392,15097,0,844,177,2247,564,4985,6913,14184,56034,1,981,619,218,0,13,2,43,7,52,27,77,892,969,2342403,454021,26134,37537,6685,2915918,0.024081267,0.016816918,0.033251766,0.022484482,0.006772786,0.336125654,0.000336429,0.000264259,0.000480154,0.000346325,7.65E-05,0.006432311
54,54,9/13/2020,AZ,208512,49863,6302,63363,1991,12370,0,0,6339,68284,63363,76865,68284,5322,1845,167,1630,61,562,0,0,89,594,1630,3098,594,5418483,280905,335278,188456,16112,6392017,0.032620689,0.009202391,0.022434631,0.0105648,0.036894756,0,0.000832601,0.000340501,0.000594507,0.000323683,0.001676221,0
